"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00049219","VALLEJO, CA US","2023-01-01",,,,"0.35",,,,"63","40","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-02",,,,"0.06",,,,"59","42","42",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-03",,,,"0.30",,,,"46","41","44",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-04",,,,"0.50",,,,"58","44","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-05",,,,"1.25",,,,"55","49","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-06",,,,"0.20",,,,"56","47","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-07",,,,"0.02",,,,"57","50","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-08",,,,"0.30",,,,"61","47","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-09",,,,"1.40",,,,"57","52","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-10",,,,"0.64",,,,"56","45","49",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-11",,,,"0.75",,,,"50","46","50",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-12",,,,"0.20",,,,"61","49","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-13",,,,"0.38",,,,"60","51","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-14",,,,"1.14",,,,"56","38","49",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-15",,,,"0.59",,,,"53","44","48",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-16",,,,"0.00",,,,"56","37","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-17",,,,"0.00",,,,"55","39","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-18",,,,"0.15",,,,"54","38","50",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-19",,,,"0.00",,,,"56","39","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-20",,,,"0.00",,,,"56","39","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-21",,,,"0.00",,,,"56","36","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-22",,,,"0.00",,,,"61","38","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-23",,,,"0.00",,,,"65","44","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-24",,,,"0.00",,,,,,,,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-25",,,,"0.00",,,,"66","42","66",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-26",,,,"0.00",,,,"66","47","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-27",,,,"0.00",,,,"62","41","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-28",,,,"0.00",,,,"58","39","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-29",,,,"0.00",,,,"58","32","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-30",,,,"0.00",,,,"57","37","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-01-31",,,,"0.00",,,,"58","35","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-01",,,,"0.00",,,,"54","37","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-02",,,,"0.00",,,,"54","39","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-03",,,,"0.30",,,,"53","45","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-04",,,,"0.00",,,,"55","46","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-07",,,,"0.00",,,,"57","40","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-08",,,,"0.00",,,,"64","42","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-09",,,,"0.00",,,,"64","45","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-10",,,,"0.00",,,,"64","41","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-11",,,,"0.25",,,,"56","42","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-12",,,,"0.00",,,,"68","42","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-13",,,,"0.00",,,,"67","42","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-14",,,,"0.00",,,,"60","37","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-15",,,,"0.00",,,,"60","37","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-16",,,,"0.00",,,,,,"53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-17",,,,"0.00",,,,"63","42","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-18",,,,"0.00",,,,"62","39","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-19",,,,"0.00",,,,"68","40","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-20",,,,"0.00",,,,"71","43","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-21",,,,"0.00",,,,"68","46","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-22",,,,"0.00",,,,"53","36","49",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-23",,,,"0.00",,,,"50","34","48",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-24",,,,"0.75",,,,"50","36","49",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-25",,,,"0.13",,,,"50","37","45",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-26",,,,"0.08",,,,"49","43","47",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-27",,,,"0.52",,,,"51","38","45",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-02-28",,,,"0.35",,,,"53","38","46",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-01",,,,"0.08",,,,"57","31","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-02",,,,"0.00",,,,"62","38","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-03",,,,"0.00",,,,"61","40","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-04",,,,"0.11",,,,"58","41","50",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-05",,,,"0.25",,,,"55","40","52",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-06",,,,"0.15",,,,"52","38","44",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-08",,,,"0.28",,,,"58","41","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-09",,,,"0.33",,,,"55","40","47",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-10",,,,"1.31",,,,"59","46","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-11",,,,"0.31",,,,"58","44","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-12",,,,"0.16",,,,"68","52","55",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-13",,,,"0.08",,,,"66","52","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-14",,,,"0.67",,,,"63","52","53",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-15",,,,"0.02",,,,"63","39","62",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-16",,,,"0.00",,,,"65","43","63",,,,,,,,
"USC00049219","VALLEJO, CA US","2023-03-17",,,,"0.00",,,,"68","41","66",,,,,,,,